full_path,left,top,right,bottom,class
images/DOL/img_01397.jpg,83,900,616,969,DOL
images/DOL/img_02937.jpg,376,301,520,533,DOL
images/DOL/img_00734.jpg,413,431,619,484,DOL
images/DOL/img_01776.jpg,203,355,489,498,DOL
images/DOL/img_05971.jpg,399,413,622,503,DOL
images/DOL/img_01531.jpg,242,295,580,496,DOL
images/DOL/img_06299.jpg,440,543,652,727,DOL
images/DOL/img_06244.jpg,303,414,531,505,DOL
images/DOL/img_07212.jpg,1112,90,1274,326,DOL
images/DOL/img_03259.jpg,211,341,487,497,DOL
images/DOL/img_00678.jpg,295,402,526,500,DOL
images/DOL/img_02474.jpg,143,268,437,419,DOL
images/DOL/img_03843.jpg,447,393,625,614,DOL
images/DOL/img_07265.jpg,302,777,884,919,DOL
images/DOL/img_05420.jpg,575,489,776,661,DOL
images/DOL/img_06768.jpg,390,411,620,502,DOL
images/DOL/img_06773.jpg,544,462,823,650,DOL
images/DOL/img_02529.jpg,374,301,535,547,DOL
images/DOL/img_06117.jpg,699,274,799,368,DOL
images/DOL/img_01850.jpg,174,316,574,450,DOL
images/DOL/img_07728.jpg,426,416,711,624,DOL
images/DOL/img_01615.jpg,257,286,435,471,DOL
images/DOL/img_05782.jpg,366,419,612,500,DOL
images/DOL/img_04314.jpg,413,419,544,571,DOL
images/DOL/img_01474.jpg,430,566,640,682,DOL
images/DOL/img_04760.jpg,251,441,475,522,DOL
images/DOL/img_01470.jpg,818,604,937,851,DOL
images/DOL/img_04676.jpg,552,478,784,652,DOL
images/DOL/img_01812.jpg,711,248,787,445,DOL
images/DOL/img_06334.jpg,429,390,579,523,DOL
images/DOL/img_01360.jpg,461,439,686,541,DOL
images/DOL/img_06204.jpg,717,237,793,448,DOL
images/DOL/img_04614.jpg,382,407,618,508,DOL
images/DOL/img_00951.jpg,418,425,530,671,DOL
images/DOL/img_02772.jpg,135,296,397,451,DOL
images/DOL/img_06442.jpg,308,414,529,511,DOL
images/DOL/img_05294.jpg,338,407,548,484,DOL
images/DOL/img_05054.jpg,408,406,622,496,DOL
images/DOL/img_04283.jpg,202,349,629,489,DOL
images/DOL/img_02267.jpg,416,429,621,487,DOL
images/DOL/img_00689.jpg,221,277,490,435,DOL
images/DOL/img_01397.jpg,64,772,489,865,DOL
images/DOL/img_00165.jpg,689,269,818,456,DOL
images/DOL/img_01757.jpg,700,274,789,366,DOL
images/DOL/img_06579.jpg,378,393,618,505,DOL
images/DOL/img_01153.jpg,321,308,482,522,DOL
images/DOL/img_03546.jpg,309,411,531,501,DOL
images/DOL/img_06297.jpg,407,412,624,495,DOL
images/DOL/img_00565.jpg,338,393,561,580,DOL
images/DOL/img_00983.jpg,163,318,442,428,DOL
images/DOL/img_07557.jpg,249,441,472,510,DOL
images/DOL/img_03922.jpg,395,429,620,490,DOL
images/DOL/img_07643.jpg,704,293,788,445,DOL
